user_id;fname;lname;email;user_type;manager_id;cognito_uuid
0;Roberto;Luna;TpQMowT@aws.com;manager;0;7defec85-d84c-477d-a5cc-67f62e73afc6
1;Javier;Valdez;NBjvFCH@aws.com;manager;1;c590c3aa-76d3-40c5-a677-9a64009b3d44
2;Emilio;Luna;EhCoZBZ@aws.com;manager;2;c8c36af4-9199-4dc5-9e0d-723e3309cc2a
3;Renata;Sanchez;SoEOqDU@aws.com;manager;3;da1fe4cb-1b7f-41c7-aa64-8c36dbc38590
4;Joan;Sorchini;hBBrTwO@aws.com;manager;4;c958f3b8-90a4-448c-b595-03b655c39233
5;Renata;Guerrero;RULTFPR@aws.com;admin;2;31647378-361b-4030-a277-cc629b6b263f
6;Omar;Luna;eUGAnJQ@aws.com;admin;1;fbb6d86e-2a13-4ba8-908e-9e5188692ab7
7;Emilio;Guerrero;bVpOiBb@aws.com;agent;5;6785376a-4bbf-4da5-9feb-5dc788f96734
8;Renata;Ferro;HmykFfJ@aws.com;agent;4;786cce56-6fc7-489f-9ac5-a304a4b04c3e
9;Fernanda;Moreno;vJkCVBR@aws.com;admin;0;055e0435-0857-4e17-8e1d-6856befb2928
10;Javier;Sanchez;ejnKAmp@aws.com;agent;0;864dc36b-b415-40fb-b3a7-1d006bbabb11
11;Omar;Sanchez;URgkMIU@aws.com;admin;2;7e2175c0-e4e2-44d6-8faa-b01237b2c487
12;Ferro;Cruz;FilaUxH@aws.com;admin;5;0fbe9582-4735-452c-900f-fe64475b74a8
13;Eric;Ferro;WxuZSfi@aws.com;agent;2;51cc0b61-141a-4846-9cde-345836769383
14;Eric;Ferro;XmzdpvK@aws.com;admin;3;a0a4037a-0b3d-4bfb-9a4a-9e02e7082118
15;Vol;Rivers;SOzmBJW@aws.com;agent;0;5233cf4e-25b0-4b48-9131-2e925bed02a0
16;Emilio;Cruz;SDPsVIT@aws.com;agent;1;27fae582-e857-45f6-9f35-8de1a86ede8e
17;Ferro;Moreno;xnOxZMR@aws.com;admin;1;b68340f1-749a-4d14-8d45-4d470716e666
18;Emilio;Cruz;keEpPit@aws.com;admin;4;92eb2e34-e1e0-4276-bdde-0460a19b347b
19;Vol;Sorchini;HYIyeuo@aws.com;admin;5;d96db71e-2ae1-473f-aeaf-e16bd9faabbc
20;Fernanda;Sanchez;mpbRGGv@aws.com;agent;5;9270032f-6ba2-485f-95d9-5d85417477c4
21;Joan;Valdez;GRGbbnl@aws.com;agent;2;ee5569b1-5aa5-457a-aefd-41d97af4dd5a
22;Emilio;Rivers;XEJaLyY@aws.com;admin;1;f39ae0b0-738f-4876-bc86-2397cfd4e1db
23;Fernanda;Ferro;MwtrxDw@aws.com;admin;4;aac60ab5-c83e-480b-923c-d86979f904b8
24;Ferro;Rivers;hBKFKZX@aws.com;admin;0;a906d1e1-d375-40f7-8008-6bbbf358f6c1
25;Joan;Sanchez;QShCwKd@aws.com;admin;2;d3164a16-3a47-4458-aed6-1e7683efc1b5
26;Javier;Barragan;zVuOHEe@aws.com;admin;3;fa1232a3-b32b-474c-ab3e-f818063a22aa
27;Eric;Guerrero;mZFwleS@aws.com;admin;3;5d0f565c-8103-4cc5-94ae-31ac48dc103c
28;Ferro;Ferro;SulCxNb@aws.com;agent;4;38338e97-d2d3-42aa-ba5a-1e5a299e77f9
29;Fernanda;Barragan;aMONZLT@aws.com;agent;2;3fe8578c-a1f2-491f-8c4c-5e78f238c9a5
30;Omar;Barragan;jNBNsbx@aws.com;agent;3;365181d1-9465-4c08-bd07-5a8a41bcb8e3
31;Emilio;Luna;XcbqFre@aws.com;admin;5;b07aced6-648b-4b67-b76e-4f446a23217d
32;Ferro;Barragan;fAKiGpr@aws.com;admin;5;55a64421-0898-4ff8-85dc-7ff48e8ed629
33;Vol;Valdez;ixpYTDG@aws.com;agent;4;1a74d52b-7e55-4211-81a8-e67408032c57
34;Emilio;Valdez;GVrHxtC@aws.com;admin;4;59a40984-a56e-45df-b974-9ca3260806b0
35;Joan;Rivers;gGEXPUl@aws.com;admin;2;a1321b08-697d-4317-82ad-53b9e4b7e9bd
36;Roberto;Moreno;vFZObzZ@aws.com;admin;2;bd17bf05-8256-45a4-8338-f5e726b1d190
37;Eric;Sorchini;jdOIojL@aws.com;admin;2;a509043b-ef94-47f4-b993-a3508d52e4a0
38;Vol;Luna;UIsKELh@aws.com;admin;4;4424c0cc-e6e8-43f2-808f-3dd6c63c10c1
39;Joan;Valdez;BIqcHdW@aws.com;agent;5;8faffd13-7b4e-42ca-8f68-6c7ac0c35451
40;Emilio;Barragan;plzlPNW@aws.com;agent;2;4606aec8-afbc-4ade-8484-68ae0dc1f1d0
41;Eric;Guerrero;ETYptEV@aws.com;agent;5;66c5c2d7-f658-48cf-a6fd-ea4593ce4ed1
42;Joan;Luna;tVwzJlF@aws.com;admin;0;0abc402d-17b0-49e9-aa1f-18c587216090
43;Javier;Barragan;vTvNekB@aws.com;admin;4;16a9ff2c-054a-4283-b3cd-d83b5d2fa095
44;Ferro;Barragan;IVnzcWX@aws.com;agent;3;5a130336-a79c-4cd8-8c37-6fb33d6f1ecb
