user_id;fname;lname;email;user_type;manager_id;cognito_uuid
0;Ferro;Moreno;edkdZHx@aws.com;manager;4;532ac4c9-1f72-41c4-be1c-e75e3d1c8bc0
1;Javier;Rivers;ebCQxkv@aws.com;admin;1;4080ccab-1475-4345-9ab0-50b62a2f9af7
2;Emilio;Ferro;jrpjuaR@aws.com;agent;5;e86d848e-0684-4566-b55d-4c3209596af4
3;Renata;Sorchini;iEOGeND@aws.com;admin;5;169804a6-73d6-4c13-9e42-b15b4248416d
4;Emilio;Ferro;rqnVRtC@aws.com;agent;5;8066c9f6-b495-4b21-9fe7-cc74469db920
5;Emilio;Valdez;oQXmYMe@aws.com;manager;5;f0764acc-1312-45c8-9c91-50000a717933
6;Emilio;Sorchini;FQMFWmy@aws.com;admin;5;6255e79b-dc66-49ab-a9ee-63190bf4e3c7
7;Joan;Ferro;HvWbQls@aws.com;admin;3;50ea7d53-e14e-4a18-8ebc-23f3c3ff3b3c
8;Ferro;Ferro;vWzDHmb@aws.com;manager;4;3159707f-b99d-426a-81b4-bab219982ac3
9;Emilio;Barragan;jmTfKxw@aws.com;admin;2;2a31051a-f2af-44d3-a8cb-0667304badb6
10;Renata;Moreno;nnAalPu@aws.com;agent;1;bdac9b8e-976e-412a-a17d-0acb5cf8413e
11;Eric;Guerrero;tgnAacY@aws.com;manager;4;aff86217-7696-419d-8ec4-a37bcba428c4
12;Renata;Sanchez;UnUVYQs@aws.com;agent;5;27340e11-e835-454d-ac3a-1159e609e951
13;Javier;Cruz;uRUMqjz@aws.com;agent;0;b9682e9c-539c-44dc-b03d-b746f0903d72
14;Roberto;Moreno;HBdhaVN@aws.com;manager;2;e67f825f-5cb9-456f-abca-0ef54164dcbe
15;Javier;Sorchini;hbpwJZY@aws.com;manager;0;70e67a92-b539-425f-85b8-859e835358ae
16;Javier;Moreno;MdaZxlK@aws.com;manager;2;4c54084d-e5e6-4f91-8415-ab417d0aad1b
17;Vol;Moreno;QqiCDze@aws.com;manager;0;3b48e2c9-7a5b-428e-ab1b-ba54a59103b0
18;Eric;Guerrero;DcnbwXa@aws.com;agent;0;92abb19a-77b2-4fc6-9493-727cdd93548c
19;Roberto;Rivers;ebeuqJC@aws.com;agent;1;6097fdc1-0871-4f3c-b395-b5c5e0efbf39
20;Omar;Sorchini;nrzVVWv@aws.com;agent;2;8a91d497-4e92-4737-9b21-b77da1488a60
21;Vol;Sorchini;aSKnDMP@aws.com;admin;4;c44ae9c3-a2eb-40c0-a0b3-68076a55311c
22;Roberto;Rivers;ejUOFvZ@aws.com;manager;4;519d424d-1a30-4d2d-a3d7-2e2c98536354
23;Eric;Ferro;hMFEhoz@aws.com;agent;5;3de62f43-0ad6-4e40-9ccc-17d3df315970
24;Emilio;Guerrero;DPOLloE@aws.com;manager;5;5fef2476-98d2-4f3a-a7f0-e625d1514405
25;Vol;Sanchez;LTViZjy@aws.com;agent;1;289b2e25-0c05-4c11-9c0c-0450cf9973f4
26;Javier;Luna;yJWPJrf@aws.com;manager;1;e850ea05-5a31-4121-b699-fb8173d2bc3f
27;Javier;Ferro;csfTLOj@aws.com;admin;3;92c7baea-ddf6-4cc2-9224-3484f82e6b49
28;Omar;Ferro;hdRBiPH@aws.com;admin;1;4d0d0a01-dd50-46cb-85e1-5304e23164b0
29;Joan;Luna;jtIBBVl@aws.com;manager;4;5308246a-8ad2-4c30-85ae-f573f22f7023
30;Javier;Cruz;QHIGWjX@aws.com;agent;4;104c9912-d9f3-47dc-b5f1-5715cbe6c56b
31;Renata;Rivers;lykpOqu@aws.com;manager;5;a65e6d4f-7b9b-45c5-93a1-11077e558baa
32;Emilio;Sanchez;pigvgoR@aws.com;agent;3;bcd9137d-c287-44fc-baf4-15a46325196c
33;Omar;Rivers;kCiZSgo@aws.com;agent;3;f0ddfc55-51f2-411b-a881-c5aefd9695ab
34;Roberto;Barragan;yLcqgsD@aws.com;admin;3;e87ad990-5a4d-44f2-978a-87b278e57004
35;Renata;Ferro;zKtjVTa@aws.com;manager;5;ed325a55-e8f2-4f79-a834-d626040548a1
36;Renata;Cruz;sIaBAWA@aws.com;agent;5;c8c01a13-4ef3-4bd1-b23a-f7287d860ccd
37;Ferro;Ferro;OUJlyym@aws.com;admin;1;1fba5266-c9a3-4b5a-9d99-2711f116227c
38;Omar;Sorchini;XZidiGG@aws.com;agent;4;c4779052-ff64-4a07-8586-fed89b2fed84
39;Ferro;Sanchez;ZJyqdcX@aws.com;manager;3;42a39b9a-fc7a-4646-afb2-cbbc49654ade
40;Vol;Valdez;OSXOrTC@aws.com;admin;1;a997fdc6-14df-4cc4-91b0-529a52216a67
41;Joan;Ferro;IEVaVPG@aws.com;agent;5;45e9f9dd-f529-4aec-8b05-0d80b613c160
42;Emilio;Luna;CPyEsHa@aws.com;agent;5;30ddf0d7-d5f3-413c-88e5-aa65d1ae0523
43;Emilio;Rivers;nuapdpf@aws.com;manager;1;d01870f2-7365-47c6-8316-242d8b46589d
44;Omar;Moreno;dceSThT@aws.com;manager;5;f4ef07c2-cfe4-43e4-809a-bac4dcc731c5
45;Roberto;Sanchez;ouEMIod@aws.com;admin;3;3c206a1a-b305-48f4-9a9a-db95e993fb65
46;Eric;Luna;xDafUNP@aws.com;manager;2;0a0dc516-cea6-4e67-9781-a7085249e799
47;Roberto;Rivers;aHHHuTx@aws.com;manager;0;ed218c0e-9182-4160-880c-85297a95d107
48;Fernanda;Barragan;kKjtwjd@aws.com;agent;3;23cc65c5-9730-4e2a-9dea-e53ba6ef79c6
